"acc","loss","val_acc","val_loss"
0.46525,1.49724907894135,0.5708,1.22510103206635
0.627125,1.0721475104332,0.662,0.967527372550964
0.686975,0.900148158788681,0.681,0.921360733890533
0.723325,0.78843340357542,0.7088,0.844968144321442
0.753725,0.704414681899548,0.7162,0.838579898071289
0.780075,0.640307293105125,0.7207,0.825937620353699
0.799125,0.583495611655712,0.7212,0.859599424648285
0.816425,0.529882778680325,0.7234,0.875823579978943
0.82955,0.48476152408123,0.7116,0.991162868738174
0.8469,0.441873703587055,0.73,0.860193529605865
0.8598,0.408930114787817,0.7184,0.946998369693756
0.86945,0.377496770572662,0.7189,1.01035980882645
0.878525,0.345817925798893,0.7257,1.03988155126572
0.887575,0.322588018126786,0.7114,1.15445063457489
0.8961,0.299744575563073,0.7142,1.21773562965393
0.901275,0.281768245968223,0.7149,1.29294944343567
0.906625,0.270490964953601,0.7179,1.3488600522995
0.910875,0.256547427643836,0.7055,1.42209570913315
0.91415,0.250617058974504,0.7143,1.4012776386261
0.919575,0.233590714595467,0.7094,1.57567699632645
0.91965,0.237180110954773,0.7114,1.52977481002808
0.9242,0.227168197857961,0.7102,1.51351481256485
0.9264,0.22142999228891,0.7136,1.66189974679947
0.9278,0.218085065671802,0.7085,1.76396383895874
0.931,0.214604530845024,0.7217,1.75214547643661
0.929225,0.216917996924091,0.715,1.76240442028046
0.93385,0.207975269982778,0.7057,1.96512366161346
0.93395,0.209160478223651,0.6981,2.04640299186707
0.932625,0.214988412784599,0.7094,1.89959064674377
0.934375,0.205270923267398,0.7105,1.9916809756279
